,ID,cluster.mSP,H_vulgaris105,Gene_name,H_sapiens,P_Name,G_Name,GO_BP,Description
1123,R035948c0g1_i01,1,g15629,NAN,NA,Tumor necrosis factor receptor superfamily member 16 (Gp80-LNGFR) (Low affinity neurotrophin receptor p75NTR) (Low-affinity nerve growth factor receptor) (NGF receptor) (p75 ICD),NGFR TNFRSF16,Rho protein signal transduction [GO:0007266]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; cell differentiation [GO:0030154]; cellular response to amyloid-beta [GO:1904646]; circadian regulation of gene expression [GO:0032922]; negative regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis [GO:1903588]; nervous system development [GO:0007399]; neuron apoptotic process [GO:0051402]; positive regulation of pri-miRNA transcription by RNA polymerase II [GO:1902895]; positive regulation of protein localization to nucleus [GO:1900182],"Low affinity receptor which can bind to NGF, BDNF, NTF3, and NTF4. Forms a heterodimeric receptor with SORCS2 that binds the precursor forms of NGF, BDNF and NTF3 with high affinity, and has much lower affinity for mature NGF and BDNF (By similarity). Plays an important role in differentiation and survival of specific neuronal populations during development (By similarity). Can mediate cell survival as well as cell death of neural cells. Plays a role in the inactivation of RHOA (By similarity). Necessary for the circadian oscillation of clock genes in the suprachiasmatic nucleus (SCmgetaN) of the brain and in liver and of the genes involved in glucose and lipid metabolism in the liver (By similarity). "
1124,R035953c0g1_i03,3,g4922,NAN,NA,Microtubule-actin cross-linking factor 1 (Actin cross-linking family 7),Macf1 Acf7 Aclp7 Macf,Golgi to plasma membrane protein transport [GO:0043001]; Wnt signaling pathway [GO:0016055]; intermediate filament cytoskeleton organization [GO:0045104]; positive regulation of Wnt signaling pathway [GO:0030177]; regulation of cell migration [GO:0030334]; regulation of epithelial cell migration [GO:0010632]; regulation of focal adhesion assembly [GO:0051893]; regulation of microtubule-based process [GO:0032886]; wound healing [GO:0042060],"F-actin-binding protein which plays a role in cross-linking actin to other cytoskeletal proteins and also binds to microtubules. Plays an important role in ERBB2-dependent stabilization of microtubules at the cell cortex (By similarity). Acts as a positive regulator of Wnt receptor signaling pathway and is involved in the translocation of AXIN1 and its associated complex (composed of APC, CTNNB1 and GSK3B) from the cytoplasm to the cell membrane (By similarity). Has actin-regulated ATPase activity and is essential for controlling focal adhesions (FAs) assembly and dynamics (By similarity). Interaction with CAMSAP3 at the minus ends of non-centrosomal microtubules tethers microtubules minus-ends to actin filaments, regulating focal adhesion size and cell migration (By similarity). May play role in delivery of transport vesicles containing GPI-linked proteins from the trans-Golgi network through its interaction with GOLGA4 (By similarity). Plays a key role in wound healing and epidermal cell migration (By similarity). Required for efficient upward migration of bulge cells in response to wounding and this function is primarily rooted in its ability to coordinate microtubule dynamics and polarize hair follicle stem cells (By similarity). As a regulator of actin and microtubule arrangement and stabilization, it plays an essential role in neurite outgrowth, branching and spine formation during brain development (By similarity). "
1125,R035956c0g1_i02,8,g30307,NAN,NA,NA,NA,NA,NA
1126,R035991c0g1_i01,2,g26071,NAN,YIF1B,Protein YIF1B-A (YIP1-interacting factor homolog B-A),yif1b-a,endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888],NA
1127,R035999c0g1_i01,2,g30537,ERO1-L-beta,ERO1A,ERO1-like protein beta (ERO1-L-beta) (EC 1.8.4.-) (Endoplasmic reticulum oxidoreductase beta) (Endoplasmic reticulum oxidoreductin-1-like protein B) (Oxidoreductin-1-L-beta),ERO1B ERO1LB,4-hydroxyproline metabolic process [GO:0019471]; cell redox homeostasis [GO:0045454]; extracellular matrix organization [GO:0030198]; glucose homeostasis [GO:0042593]; insulin processing [GO:0030070]; protein folding [GO:0006457]; protein folding in endoplasmic reticulum [GO:0034975]; protein maturation by protein folding [GO:0022417],"Oxidoreductase involved in disulfide bond formation in the endoplasmic reticulum. Efficiently reoxidizes P4HB/PDI, the enzyme catalyzing protein disulfide formation, in order to allow P4HB to sustain additional rounds of disulfide formation. Other protein disulfide isomerase family members can also be reoxidized, but at lower rates compared to P4HB, including PDIA2 (50% of P4HB reoxidation rate), as well as PDIA3, PDIA4, PDIA6 and NXNDC12 (<10%). Following P4HB reoxidation, passes its electrons to molecular oxygen via FAD, leading to the production of reactive oxygen species (ROS) in the cell. May be involved in oxidative proinsulin folding in pancreatic cells, hence may play a role in glucose homeostasis. "
1128,R036003c0g2_i01,1,g24685,NAN,NA,Ras-related protein rapB,rapB DDB_G0272857,small GTPase mediated signal transduction [GO:0007264],NA
1129,R036006c0g2_i02,4,g28151,NAN,POGLUT3,Protein O-glucosyltransferase 2 (EC 2.4.1.-) (KDEL motif-containing protein 1) (Protein O-xylosyltransferase POGLUT2) (EC 2.4.2.26),poglut2 kdelc1 si:dkey-22a1.1 zgc:56065,protein O-linked glycosylation via serine [GO:0018242],Protein glucosyltransferase that catalyzes the transfer of glucose from UDP-glucose to a serine residue within the consensus sequence peptide C-X-N-T-X-G-S-F-X-C. Can also catalyze the transfer of xylose from UDP-xylose but less efficiently. 
1130,R036010c0g1_i01,3,g32486,NAN,NA,GAS2-like protein pickled eggs,pigs CG3973,ovarian follicle cell development [GO:0030707]; ovarian follicle cell stalk formation [GO:0030713],"Essential for development and viability. Required for ovary development and oogenesis, and is essential for the development of the indirect flight muscles. May act as a negative regulator of the Notch signaling pathway in certain tissues, such as the muscle precursors and ovaries. May function as a linker protein between the actin and microtubule cytoskeletons. "
1131,R036011c0g1_i01,8,g20710,NAN,NA,Arrestin domain-containing protein 3,Arrdc3 Kiaa1376,fat pad development [GO:0060613]; negative regulation of adenylate cyclase-activating adrenergic receptor signaling pathway [GO:0071878]; negative regulation of cold-induced thermogenesis [GO:0120163]; negative regulation of heat generation [GO:0031651]; negative regulation of locomotion involved in locomotory behavior [GO:0090327]; positive regulation of ubiquitin-protein transferase activity [GO:0051443]; skin development [GO:0043588]; temperature homeostasis [GO:0001659],"Adapter protein that plays a role in regulating cell-surface expression of adrenergic receptors and probably also other G protein-coupled receptors (PubMed:21982743). Plays a role in NEDD4-mediated ubiquitination and endocytosis af activated ADRB2 and subsequent ADRB2 degradation. May recruit NEDD4 to ADRB2. Alternatively, may function as adapter protein that does not play a major role in recruiting NEDD4 to ADRB2, but rather plays a role in a targeting ADRB2 to endosomes. "
1132,R036016c0g1_i01,2,g4836,NAN,NA,SH2 domain-containing adapter protein B,SHB,angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell differentiation [GO:0030154]; signal transduction [GO:0007165]; vascular endothelial growth factor receptor signaling pathway [GO:0048010],"Adapter protein which regulates several signal transduction cascades by linking activated receptors to downstream signaling components. May play a role in angiogenesis by regulating FGFR1, VEGFR2 and PDGFR signaling. May also play a role in T-cell antigen receptor/TCR signaling, interleukin-2 signaling, apoptosis and neuronal cells differentiation by mediating basic-FGF and NGF-induced signaling cascades. May also regulate IRS1 and IRS2 signaling in insulin-producing cells. "
1133,R036018c0g1_i03,5,g13157,NAN,LAS1L,Ribosomal biogenesis protein LAS1L (Protein LAS1 homolog),LAS1L MSTP060,maturation of 5.8S rRNA [GO:0000460]; maturation of LSU-rRNA [GO:0000470]; rRNA processing [GO:0006364],"Involved in the biogenesis of the 60S ribosomal subunit. Required for maturation of the 28S rRNA. Functions as a component of the Five Friends of Methylated CHTOP (5FMC) complex; the 5FMC complex is recruited to ZNF148 by methylated CHTOP, leading to desumoylation of ZNF148 and subsequent transactivation of ZNF148 target genes. "
1134,R036020c0g2_i02,7,g1539,NAN,NA,NA,NA,NA,NA
1135,R036021c0g1_i01,2,g28984,HP1 ,CBX5,Chromobox protein homolog 5 (Heterochromatin protein 1 homolog alpha) (HP1 alpha),Cbx5 Hp1a,"cellular response to DNA damage stimulus [GO:0006974]; negative regulation of transcription by RNA polymerase II [GO:0000122]; negative regulation of transcription, DNA-templated [GO:0045892]","Component of heterochromatin that recognizes and binds histone H3 tails methylated at 'Lys-9' (H3K9me), leading to epigenetic repression. In contrast, it is excluded from chromatin when 'Tyr-41' of histone H3 is phosphorylated (H3Y41ph). Can interact with lamin-B receptor (LBR). This interaction can contribute to the association of the heterochromatin with the inner nuclear membrane. Involved in the formation of functional kinetochore through interaction with MIS12 complex proteins (By similarity). "
1136,R036029c0g1_i01,6,g25947,Rag C,RRAGD,Ras-related GTP-binding protein C (Rag C) (RagC) (GTPase-interacting protein 2) (TIB929),Rragc,cellular response to amino acid starvation [GO:0034198]; cellular response to amino acid stimulus [GO:0071230]; cellular response to starvation [GO:0009267]; positive regulation of TOR signaling [GO:0032008]; regulation of TOR signaling [GO:0032006]; regulation of TORC1 signaling [GO:1903432]; regulation of autophagy [GO:0010506]; response to amino acid [GO:0043200],Guanine nucleotide-binding protein forming heterodimeric Rag complexes required for the amino acid-induced relocalization of mTORC1 to the lysosomes and its subsequent activation by the GTPase RHEB. This is a crucial step in the activation of the TOR signaling cascade by amino acids (By similarity). 
1137,R036030c1g2_i04,4,NA,NAN,NA,NA,NA,NA,NA
1138,R036044c0g3_i01,2,g2047,NAN,NA,NA,NA,NA,NA
1139,R036054c0g1_i01,3,g28208,FGFR-2,NA,Fibroblast growth factor receptor 2 (FGFR-2) (EC 2.7.10.1) (Tyrosine kinase receptor CEK3),FGFR2 CEK3,apoptotic process [GO:0006915]; positive regulation of cell population proliferation [GO:0008284]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169],"Tyrosine-protein kinase that acts as cell-surface receptor for fibroblast growth factors and plays an essential role in the regulation of cell proliferation, differentiation, migration and apoptosis, and in the regulation of embryonic development. Required for normal embryonic patterning, limb bud development, lung morphogenesis, osteogenesis and skin development. Plays an essential role in the regulation of osteoblast differentiation, proliferation and apoptosis, and is required for normal skeleton development. Promotes cell proliferation in keratinocytes and immature osteoblasts, but promotes apoptosis in differentiated osteoblasts. Phosphorylates PLCG1, FRS2 and PAK4. Ligand binding leads to the activation of several signaling cascades. Activation of PLCG1 leads to the production of the cellular signaling molecules diacylglycerol and inositol 1,4,5-trisphosphate. Phosphorylation of FRS2 triggers recruitment of GRB2, GAB1, PIK3R1 and SOS1, and mediates activation of RAS, MAPK1/ERK2, MAPK3/ERK1 and the MAP kinase signaling pathway, as well as of the AKT1 signaling pathway. FGFR2 signaling is down-regulated by ubiquitination, internalization and degradation. Mutations that lead to constitutive kinase activation or impair normal FGFR2 maturation, internalization and degradation lead to aberrant signaling. Over-expressed FGFR2 promotes activation of STAT1 (By similarity). "
1140,R036057c0g2_i01,2,g8377,NAN,BUB3,Mitotic checkpoint protein BUB3 (WD repeat type I transmembrane protein A72.5),Bub3,attachment of spindle microtubules to kinetochore [GO:0008608]; cell division [GO:0051301]; chromosome segregation [GO:0007059]; meiotic cell cycle [GO:0051321]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle assembly checkpoint [GO:0007094]; protein localization to kinetochore [GO:0034501]; regulation of chromosome segregation [GO:0051983],Has a dual function in spindle-assembly checkpoint signaling and in promoting the establishment of correct kinetochore-microtubule (K-MT) attachments. Promotes the formation of stable end-on bipolar attachments. Necessary for kinetochore localization of BUB1. The BUB1/BUB3 complex plays a role in the inhibition of anaphase-promoting complex or cyclosome (APC/C) when spindle-assembly checkpoint is activated and inhibits the ubiquitin ligase activity of APC/C by phosphorylating its activator CDC20. This complex can also phosphorylate MAD1L1 (By similarity). Regulates chromosome segregation during oocyte meiosis. 
1141,R036075c0g1_i01,1,NA,NAN,TMEM175,NA,TMEM175,NA,NA
1142,R036080c0g1_i01,5,g25542,GMF-beta ,GMFB,Glia maturation factor beta (GMF-beta),GMFB,negative regulation of Arp2/3 complex-mediated actin nucleation [GO:0034316],"This protein causes differentiation of brain cells, stimulation of neural regeneration, and inhibition of proliferation of tumor cells. "
1143,R036088c6g1_i03,3,g23343,NAN,NA,Resact receptor (EC 4.6.1.2) (Guanylate cyclase),NA,NA,"Implicated as a cell-surface receptor on spermatozoa for 'resact' a chemotactic peptide, and on various other cells as a receptor for atrial natriuretic peptide."
1144,R036109c0g1_i05,4,NA,NAN,TMEM33,NA,TMEM33,NA,NA
1145,R036120c0g2_i01,5,g24934,ASB-3,NA,Ankyrin repeat domain-containing protein 27 (VPS9 domain-containing protein),ANKRD27 PP12899,"early endosome to late endosome transport [GO:0045022]; endosome to melanosome transport [GO:0035646]; negative regulation of SNARE complex assembly [GO:0035544]; neuron projection morphogenesis [GO:0048812]; positive regulation of dendrite morphogenesis [GO:0050775]; protein transport [GO:0015031]; retrograde transport, endosome to plasma membrane [GO:1990126]","May be a guanine exchange factor (GEF) for Rab21, Rab32 and Rab38 and regulate endosome dynamics (PubMed:16525121, PubMed:18477474). May regulate the participation of VAMP7 in membrane fusion events; in vitro inhibits VAMP7-mediated SNARE complex formation by trapping VAMP7 in a closed, fusogenically inactive conformation (PubMed:23104059). Involved in peripheral melanosomal distribution of TYRP1 in melanocytes; the function, which probably is implicating vesicle-trafficking, includes cooperation with Rab32, Rab38 and VAMP7 (By similarity). Involved in the regulation of neurite growth; the function seems to require its GEF activity, probably towards Rab21, and VAMP7 but not Rab32/38 (By similarity). Proposed to be involved in Golgi sorting of VAMP7 and transport of VAMP7 vesicles to the cell surface; the function seems to implicate kinesin heavy chain isoform 5 proteins, GOLGA4, RAB21 and MACF1 (PubMed:22705394). Required for the colocalization of VAMP7 and Rab21, probably on TGN sites (PubMed:19745841). Involved in GLUT1 endosome-to-plasma membrane trafficking; the function is dependent of association with VPS29 (PubMed:24856514). Regulates the proper trafficking of melanogenic enzymes TYR, TYRP1 and DCT/TYRP2 to melanosomes in melanocytes (By similarity). "
